id,restraunt_camis,inspection_date,inspection_type,action,score,grade,grade_date
531,50146853,2025-07-01,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,65,,
532,50164695,2025-06-26,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,27,B,2025-06-26
533,50152245,2024-08-15,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,72,,
534,50062743,2025-03-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
535,50094921,2024-04-09,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-04-09
536,50124376,2024-11-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,38,,
537,50066744,2023-04-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
538,50127351,2023-07-20,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,29,,
539,50127870,2023-07-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,39,,
540,50132255,2025-07-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
541,50140840,2023-09-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-09-27
542,50050042,2024-02-02,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-02-02
543,50124448,2023-02-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,17,,
544,50072375,2025-01-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
545,50048053,2024-06-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-06-05
546,41177892,2023-01-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,42,C,2023-01-10
547,41385076,2023-12-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,55,C,2023-12-21
548,40837042,2025-01-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
549,50123613,2024-11-25,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,69,,
550,41705732,2024-07-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,47,,
551,40979519,2025-05-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,29,,
552,50008666,2023-04-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,43,,
553,41503108,2025-03-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,16,,
554,50112864,2024-08-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,19,B,2024-08-23
555,50071494,2025-03-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,43,,
556,50124376,2025-06-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,65,Z,2025-06-04
557,50131346,2025-05-20,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,49,Z,2025-05-20
558,40979519,2023-02-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
559,50089236,2024-01-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,57,,
560,50148333,2024-12-10,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,24,Z,2024-12-10
561,50008640,2024-06-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
562,40791157,2025-03-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
563,50067605,2025-07-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2025-07-14
564,50139652,2023-09-06,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,11,A,2023-09-06
565,50148675,2025-01-28,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
566,40396231,2025-04-15,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,46,C,2025-04-15
567,50065695,2024-04-20,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,Z,2024-04-20
568,50139274,2024-07-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,,
569,41656924,2023-03-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,18,,
570,50058475,2025-01-10,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
571,50115409,2024-06-15,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
572,50135417,2023-11-30,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,27,B,2023-11-30
573,50138270,2024-09-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,85,,
574,50116972,2024-07-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,4,,
575,40372445,2025-03-24,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,53,,
576,50117415,2025-04-29,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,65,,
577,50088789,2024-04-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,9,A,2024-04-29
578,50083891,2025-05-10,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
579,50105213,2024-09-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
580,50133208,2023-03-29,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,35,,
581,50163507,2025-01-21,Pre-permit (Non-operational) / Initial Inspection,Violations were cited in the following area(s).,16,N,
582,50060917,2024-03-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
583,50072375,2023-05-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
584,50055882,2024-03-26,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-03-26
585,50014408,2023-04-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,8,A,2023-04-04
586,50075543,2025-07-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
587,50129377,2025-01-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-01-15
588,41574650,2023-01-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,27,,
589,50164407,2025-04-03,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,88,,
590,50038120,2024-01-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,62,,
591,50135628,2024-10-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
592,41620241,2024-05-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-05-15
593,50133211,2023-08-11,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,17,N,
594,50072375,2024-03-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,46,C,2024-03-14
595,50138270,2023-07-27,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,138,,
596,50171293,2025-06-25,Pre-permit (Non-operational) / Initial Inspection,Violations were cited in the following area(s).,39,,
597,50127633,2023-09-21,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
598,50148558,2024-09-23,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,30,C,2024-09-23
599,50142575,2024-02-28,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,12,A,2024-02-28
600,41495141,2025-05-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2025-05-13
601,50073545,2024-07-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
602,50049514,2023-06-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,78,,
603,50133760,2023-12-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,55,,
604,41665255,2024-09-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,81,,
605,50105213,2025-04-09,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
606,41177892,2024-09-03,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-09-03
607,40395343,2024-12-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
608,50088652,2025-07-02,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2025-07-02
609,41006765,2024-05-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,15,,
610,50119429,2023-12-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
611,50106096,2023-06-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,18,,
612,50050042,2024-12-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
613,50088464,2024-04-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
614,50073091,2023-12-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2023-12-04
615,50047927,2024-06-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
616,50127492,2024-10-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,15,,
617,50134859,2025-02-26,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2025-02-26
618,41344229,2024-05-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,58,,
619,50122846,2025-01-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,34,,
620,50012822,2023-05-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,48,,
621,40383281,2025-03-11,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
622,41519688,2023-03-28,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
623,50118265,2025-03-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-03-12
624,41563537,2023-01-13,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,9,A,2023-01-13
625,50065197,2025-03-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
626,50085703,2023-11-27,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
627,41379215,2023-06-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-06-06
628,50145558,2025-04-28,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,24,B,2025-04-28
629,50033252,2024-08-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,44,C,2024-08-29
630,50105213,2025-08-14,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
631,50116822,2023-03-30,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,16,B,2023-03-30
632,50014408,2025-07-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,9,A,2025-07-29
633,41654555,2024-05-08,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,45,,
634,50112047,2023-05-18,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,31,,
635,50132255,2024-10-08,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,74,,
636,50129377,2023-10-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
637,50117697,2023-02-28,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,50,,
638,50128210,2024-10-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
639,41319774,2025-07-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,40,Z,2025-07-29
640,41495141,2024-05-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2024-05-31
641,50130631,2023-03-22,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,10,A,2023-03-22
642,50137282,2023-08-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,9,A,2023-08-15
643,50106152,2025-08-23,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
644,50105567,2025-04-10,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,70,,
645,50137300,2023-08-29,Pre-permit (Operational) / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,60,,
646,50129377,2023-01-05,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,18,B,2023-01-05
647,50107335,2023-08-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,18,B,2023-08-25
648,50109923,2024-08-16,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,18,B,2024-08-16
649,50116136,2024-08-26,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2024-08-26
650,50131346,2023-10-05,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,12,A,2023-10-05
651,50105379,2025-03-17,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
652,50108113,2023-02-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
653,50144098,2024-02-01,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
654,50085703,2023-11-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
655,50035574,2024-03-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2024-03-14
656,50127720,2024-02-01,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,34,,
657,50074621,2024-04-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,27,,
658,50005277,2024-02-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,3,A,2024-02-07
659,50114100,2024-05-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
660,40949905,2024-12-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
661,50085121,2024-03-18,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2024-03-18
662,50096074,2024-05-09,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-05-09
663,41705732,2024-12-24,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,17,B,2024-12-24
664,50139167,2024-08-28,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,50,,
665,50112865,2024-01-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
666,50132527,2025-07-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,38,,
667,50143667,2024-04-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-04-23
668,50045763,2025-01-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,45,,
669,50105651,2023-02-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,B,2023-02-23
670,41454419,2023-11-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,49,,
671,40962335,2023-09-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,43,,
672,50111463,2024-08-27,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-08-27
673,50129944,2023-07-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,67,,
674,50005277,2025-06-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2025-06-25
675,50087453,2025-04-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,Z,2025-04-21
676,50122846,2025-08-06,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,57,Z,2025-08-06
677,41194024,2023-05-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2023-05-18
678,50066146,2024-03-19,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,B,2024-03-19
679,50035574,2023-05-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
680,50132764,2024-11-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,98,,
681,40372445,2023-03-27,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2023-03-27
682,50117697,2025-03-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,54,,
683,50007352,2023-01-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-01-17
684,50122846,2023-09-05,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
685,50123411,2024-03-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-03-12
686,50111235,2025-06-13,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2025-06-13
687,50130717,2023-04-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-04-30
688,50001215,2025-05-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,60,,
689,41293756,2023-01-17,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,61,,
690,40513184,2025-05-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2025-05-14
691,50065564,2023-12-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,58,,
692,50008640,2023-03-07,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2023-03-07
693,50142911,2025-01-31,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,17,B,2025-01-31
694,50150508,2024-10-01,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,59,,
695,50002628,2024-06-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,41,,
696,50004862,2024-11-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,2,A,2024-11-21
697,50129862,2023-03-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,20,,
698,50129944,2024-04-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,51,C,2024-04-10
699,41250498,2023-01-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,34,C,2023-01-10
700,50044531,2025-01-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-01-13
701,50058155,2024-05-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2024-05-03
702,50090750,2025-08-07,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,24,B,2025-08-07
703,50002628,2024-08-26,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,78,,
704,41048074,2023-05-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,5,A,2023-05-15
705,50087764,2024-11-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
706,40369641,2024-10-24,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
707,50129862,2025-04-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,18,Z,2025-04-30
708,50058475,2024-10-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,34,,
709,50088652,2023-06-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
710,50110163,2024-12-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2024-12-09
711,50133760,2023-03-27,Pre-permit (Non-operational) / Initial Inspection,Violations were cited in the following area(s).,10,,
712,50011586,2024-08-26,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
713,50035574,2025-04-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2025-04-17
714,41177892,2024-05-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,51,,
715,50000473,2023-04-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,29,C,2023-04-17
716,40380164,2023-06-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
717,50059581,2023-05-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2023-05-30
718,50127720,2025-08-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,78,,
719,50125236,2024-02-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,6,A,2024-02-23
720,50130528,2024-07-15,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,40,C,2024-07-15
721,41700337,2025-06-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,61,,
722,50135594,2023-05-25,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,32,,
723,41600223,2024-03-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,B,2024-03-08
724,50095108,2023-05-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,2,A,2023-05-15
725,41665255,2024-10-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-10-29
726,50133208,2024-12-31,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2024-12-31
727,50138139,2023-07-05,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,27,,
728,50073091,2023-01-19,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,19,B,2023-01-19
729,50128607,2023-08-21,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,26,,
730,50124313,2023-08-11,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,13,A,2023-08-11
731,50081136,2025-05-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,43,,
732,50130040,2023-03-30,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,48,,
733,40399174,2023-01-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
734,41344229,2025-01-13,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,42,C,2025-01-13
735,50170993,2025-07-08,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
736,50047854,2024-03-18,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,65,,
737,50128391,2024-09-18,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
738,40423403,2024-09-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,70,,
739,41022989,2023-10-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
740,50073091,2025-07-16,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,22,B,2025-07-16
741,41277451,2023-05-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,2,A,2023-05-10
742,41700337,2025-06-17,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
743,50131273,2023-05-17,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,79,,
744,50073545,2023-06-01,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-06-01
745,50126094,2024-10-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,69,,
746,50127633,2023-09-21,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,31,,
747,50105992,2023-04-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,40,,
748,50011586,2025-03-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2025-03-03
749,50060917,2024-12-19,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,,
750,50105213,2025-07-07,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,24,B,2025-07-07
751,50105594,2024-10-31,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,22,B,2024-10-31
752,50087453,2025-03-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,45,,
753,41017390,2024-05-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,16,,
754,40372445,2025-06-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
755,50131346,2025-01-31,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,48,C,2025-01-31
756,50141753,2023-09-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-09-27
757,50132764,2025-01-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,B,2025-01-29
758,50045763,2024-06-14,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
759,50113072,2023-11-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
760,50128784,2023-10-12,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,12,A,2023-10-12
761,50108113,2024-05-18,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
762,50118860,2024-02-15,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
763,50135173,2024-01-11,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,12,A,2024-01-11
764,50135173,2023-09-18,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,58,,
765,50105213,2025-01-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,45,C,2025-01-29
766,50085967,2023-04-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-04-21
767,50055936,2025-02-13,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2025-02-13
768,50128628,2024-09-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
769,40376142,2023-05-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
770,40949905,2025-01-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,56,C,2025-01-21
771,50141699,2025-07-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,21,Z,2025-07-17
772,50104703,2023-04-18,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-04-18
773,50128998,2025-01-11,Administrative Miscellaneous / Reopening Inspectio,Violations were cited in the following area(s).,,,
774,50104703,2025-07-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2025-07-16
775,50104534,2025-04-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
776,50088559,2024-05-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
777,50033380,2024-10-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
778,50114016,2025-01-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,15,,
779,40949905,2025-04-18,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
780,50107335,2025-01-28,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,B,2025-01-28
781,50106152,2025-02-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
782,40372445,2025-03-28,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,9,Z,2025-03-28
783,50152245,2024-09-25,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.,2,,
784,50116136,2025-05-15,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,118,,
785,40423403,2024-03-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,59,C,2024-03-21
786,50120682,2023-10-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,,
787,50116972,2025-03-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,35,C,2025-03-10
788,50012822,2023-01-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,14,B,2023-01-04
789,50001168,2023-11-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,39,C,2023-11-08
790,50059605,2025-07-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,40,,
